team_name,P,W,D,L,GF,GA,GD,Pts,Goals,Shots pg,Yellow,Red,Poss%,Pass%,A_Won,Rating,Shoted pg,Tackles pg,Intercept pg,Fouls pg,Offsides pg,Shots OT pg,Dribbles pg,Fouled pg
Liverpool,29,21,7,1,69,27,+42,70,69,17,54,2,57.2,86.3,10.8,6.87,9.7,17.4,8.1,11.6,1.4,6.3,8.3,9.3
Arsenal,29,16,10,3,53,24,+29,58,53,13.9,56,5,55.9,86.6,13.4,6.79,9.7,16.1,6.2,11.5,2.2,4.8,8.5,10.6
Nottingham Forest,29,16,6,7,49,35,+14,54,49,12.4,60,2,39.5,78.3,15,6.72,13.6,18.3,8.7,10.6,2.3,4.6,7.4,11
Chelsea,29,14,7,8,53,37,+16,49,53,15.9,79,1,58.2,87.1,10.8,6.69,10.9,15.5,7.3,11.8,1.6,5.8,8.8,11.9
Manchester City,29,14,6,9,55,40,+15,48,55,16.1,48,1,60.8,89.9,8,6.73,9.9,13.3,6,7.4,1.2,5.8,10.1,9.9
Newcastle,28,14,5,9,47,38,+9,47,47,13.1,52,1,50.4,83.4,12.3,6.69,13.1,16.3,7.7,10.6,2,4.4,7.7,12.3
Brighton,29,12,11,6,48,42,+6,47,48,13.9,61,1,51.6,84.5,14,6.62,11.1,18.1,8.5,11.7,1.1,4.8,9.3,11.3
Fulham,29,12,9,8,43,38,+5,45,43,13.7,61,2,52.8,84.5,13.9,6.64,11,17.9,8.6,11.2,1.1,4.6,7.9,9.9
Aston Villa,29,12,9,8,41,45,-4,45,41,12.6,56,2,51.4,85.5,10.4,6.56,12.1,16.8,6.6,11.4,1.7,4.2,9,13.1
Bournemouth,29,12,8,9,48,36,+12,44,48,16,74,1,47.0,79.1,15,6.75,13.5,19.4,10,13.8,2,5.8,8.1,10.2
Brentford,29,12,5,12,50,45,+5,41,50,11.7,40,1,48.0,81.0,17.5,6.73,17.4,16.5,7.7,7.8,2,4.9,6.9,8.9
Crystal Palace,28,10,9,9,36,33,+3,39,36,14.1,58,1,43.7,77.2,14.7,6.69,12.7,21.7,8.6,10.8,1.9,5,5.7,10.9
Manchester United,29,10,7,12,37,40,-3,37,37,13.2,62,3,52.7,84.1,12.7,6.64,11.6,21.4,10.4,10.7,1.9,4.6,6.7,9.7
Tottenham,29,10,4,15,55,43,+12,34,55,14.2,52,1,56.9,85.6,11.4,6.71,13.2,18.3,8.3,11.3,1.5,5.4,8.6,13
Everton,29,7,13,9,32,36,-4,34,32,11.1,59,2,40.3,78.3,16.3,6.70,12.6,20.2,9,11.6,2.3,3.8,7.9,9.9
West Ham,29,9,7,13,33,49,-16,34,33,13,59,3,47.0,81.9,16.1,6.57,16.1,17,8.9,11.5,1.9,3.9,9.3,10.4
Wolves,29,7,5,17,40,58,-18,26,40,10.9,59,2,47.7,82.2,11.8,6.54,13.2,21.1,8.3,13,1.8,4.3,8.1,11
Ipswich,29,3,8,18,28,62,-34,17,28,9.7,70,3,40.8,80.8,14.3,6.40,15,16.2,8.7,11.5,1.4,3.6,7.4,10.3
Leicester,29,4,5,20,25,65,-40,17,25,9,64,0,45.7,81.7,14,6.43,16.4,19.8,8.8,10.7,1.7,3,7.2,10.2
Southampton,29,2,3,24,21,70,-49,9,21,9.3,75,3,50.4,85.9,12.6,6.35,17.9,17.4,8.1,12.1,1.3,3.1,8.4,11.6
